types,name,distance,reviews,rating
"['museum', 'point_of_interest', 'establishment']",Stewart Park Merry Go Round,4.078877880314214,[],
"['museum', 'point_of_interest', 'establishment']",Crystal's Point,8.807306295691014,[],
"['school', 'museum', 'point_of_interest', 'establishment']",Discovery Center of the Southern Tier,7.080861107152704,"[{'text': ""Great visit.  I highly recommend this place. !! My Grandkids love this place.    Always an adventure .. from the hot air balloons and airplanes.  To the fire truck. To the acting stage to the pirates ship and the grocery store .. we loved the underground tunnels and all of the adventures to be had at the Discovery center .   They have made many improvements over the years .  I must say. .  can't wait to take them back again when we have more time ..  thanks so much for providing a place for learning , fun, and development .  A  much needed asset to the community ."", 'author_name': 'melissa bogert', 'relative_time_description': 'a month ago', 'rating': 5}, {'text': ""This looks like a really nice place.  We visited in Winter so all the fun outside stuff was covered in snow unfortunately.  Inside was fairly well maintained but once it stated getting busy there just isn't enough room inside."", 'author_name': 'Gunit Word', 'relative_time_description': 'a month ago', 'rating': 4}, {'text': ""The Discovery Center is hands down one of the most interesting and unique places I have visited, whether in the US or abroad. There are a variety of activities for children and it's easy to socialize with other adults as well. This place has great reviews, and for great reasons! Check it out, bring your kids, you will all quickly fall for it's charm! A++"", 'author_name': 'TreeSpider', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': ""This place continues to be top notch even after all these years. Great for kids to explore, learn, and run their crazies out. If you've never been before, think of a giant place with all kinds of pretend play. From a mini grocery store, to a bank, to a restaurant, an old fire engine (that my grandfather used to drive), and countless other activities. There are even quiet areas tucked away for children who need sensory breaks. During holidays they like to decorate accordingly and do a great job. Prices are very reasonable and well worth it (they even have grandparent memberships so they can take their grandchildren). While there (if the weather is decent), check out the storybook garden. It's a free play area with gardens, books to read, and fun stuff for kids to explore. There is even a pavilion area if you wanted to bring a lunch or snack. If you have never been here, go! Don't  just think about it, GO! You won't be disappointed"", 'author_name': 'Joshua Faughnan', 'relative_time_description': '6 months ago', 'rating': 5}, {'text': ""Disappointing, I remember how incredible it was a few years back and they have changed a lot lately. I \nam frequently there for work. Electronic stuff that usually is in working condition, has not been recently. Changed a whole room to just coloring, I could do that for free at home, don't need to pay $8 to do that. Lots of parts have just changed to puzzels and reading, not as interactive as in the past. All on top of the fact they have upped the prices. The kids I work with are upset about the changes."", 'author_name': 'cass m', 'relative_time_description': '2 months ago', 'rating': 2}]",4.6
"['library', 'museum', 'point_of_interest', 'establishment']",Roberson Museum and Science Center,7.616284242914669,"[{'text': ""Recently had an event at the mansion's ballroom.  It is a beautiful space.  While you have to provide everything but the tables & chairs, the staff worked with me to get all my decorations and dessert, plates, napkins, etc up to the top floor.  It really is a blank canvas that you can make as formal or informal as you wish.  Everyone had a great time, and then spent some time wandering around the rest of the mansion and museum."", 'author_name': 'jacquelyn gunn', 'relative_time_description': 'a week ago', 'rating': 5}, {'text': ""Walked through when the Christmas trees were set up. Definitely very informative and interesting to see all the different countries and the decor they use. The train display was amazing, some serious effort was put into that setup that can't be ignored. Highly recommend getting a guided tour to fully appreciate the history of the house. We didn't get the tour and ended up not being that impressed but historical locations aren't high on our visit list and we had a 2 year old who wouldn't have lasted."", 'author_name': 'Brad Antczak', 'relative_time_description': 'a month ago', 'rating': 4}, {'text': ""Very cool attraction to visit whether you are coming in from out of town or a local. There's a famous Christmas tree exhibit every year, several photography and art exhibits and a massive model train that showcases historical parts of the Southern Tier, perfect for adults and children alike. My favorite part of the museum is the planetarium, the shows there are fascinating and the staff is extremely knowledgeable and entertaining. Worth checking out!"", 'author_name': 'Joshua Witter', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'We come every Christmas.  We love the Christmas Tree Forest,  the train display and all of the beautiful rooms in the mansion. The art is just an added bonus.', 'author_name': 'Reneé Matarese', 'relative_time_description': '3 months ago', 'rating': 5}, {'text': 'Great local museum with something for everyone! Love the Christmas trees and the model trains.', 'author_name': 'Jonathan Mawdsley', 'relative_time_description': '2 months ago', 'rating': 5}]",4.6
"['museum', 'point_of_interest', 'establishment']",Phelps Mansion Museum,6.481947817997013,"[{'text': 'Saw the theatrical event Never more there, it was a very good setting for the show. Antique furniture, paintings, molding, & elaborate chandeliers. Great place to tour if you are interested in history.', 'author_name': 'Tammy Coroa', 'relative_time_description': 'a month ago', 'rating': 4}, {'text': 'Really nice place. The house was decorated for Christmas, and it looked beautiful. The tour guide had lots of information on the house and the Binghamton area. It is worth checking out.', 'author_name': 'Tyler Lewis', 'relative_time_description': '3 months ago', 'rating': 4}, {'text': 'Nevermore is a great show in a breathtaking location!  Wonderful and timeless.', 'author_name': 'Teal Yajko', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'Beautiful home.  The tour was wonderful.', 'author_name': 'Missy S', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': ""Tour was a bit boring, the guides done it so much theres no enthusiasm left. I'd stop listening after maybe a minute in each room and just explore the artifacts, read things myself."", 'author_name': 'CheyenneSinful', 'relative_time_description': '4 months ago', 'rating': 3}]",4.7
"['museum', 'point_of_interest', 'establishment']",Binghamton University Art Museum,11.739957068555192,"[{'text': 'I used to go here all the time when I was in school. Really great place to stop by in between classes or just when you are looking for something to do.', 'author_name': 'Nicole Campise', 'relative_time_description': '6 months ago', 'rating': 5}, {'text': 'Very beautiful and educational place to go', 'author_name': 'Jacqueline Rose', 'relative_time_description': '5 months ago', 'rating': 5}, {'text': '', 'author_name': 'Abagael Rudock', 'relative_time_description': '2 weeks ago', 'rating': 5}, {'text': '', 'author_name': 'Zuzu Boomer-Knapp', 'relative_time_description': '10 months ago', 'rating': 5}, {'text': '', 'author_name': 'Luna Moreno', 'relative_time_description': '10 months ago', 'rating': 2}]",4.6
"['museum', 'point_of_interest', 'establishment']",Chenango School House Museums,10.724945368065328,[],
"['museum', 'point_of_interest', 'establishment']",Broome County Historical Society,6.562795451730554,"[{'text': 'Best library!!!', 'author_name': 'Mary Chadwick', 'relative_time_description': '3 months ago', 'rating': 5}, {'text': '', 'author_name': 'Chris Roma', 'relative_time_description': 'a year ago', 'rating': 5}, {'text': '', 'author_name': 'Craig Kilroy', 'relative_time_description': 'a year ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Rock Bottom Dam Firefighter's Memorial,6.590692468112447,[],
"['museum', 'point_of_interest', 'establishment']",Johnson City Square Deal Arch,9.83093503247695,[],
"['museum', 'point_of_interest', 'establishment']",Bethel Woods,10.283023358077449,[],
"['museum', 'point_of_interest', 'establishment']",Steamtown National Historic Site,8.65842162824888,"[{'text': 'If you are into old trains this is the place for you.  You can spend 3 to 4 hours no problem if you read all of the information on the different displays. It has a working reconditioning/maintenance shop. A trolley museum on site also. Parking is not a problem and easy to locate.', 'author_name': 'Mike Reed', 'relative_time_description': '2 weeks ago', 'rating': 4}, {'text': 'Great area to look at some history of Scranton PA. This place is huge so a bit a walking around cant hurt anyone. Speaking of which this place is great for handicapped people. Place stays clean and staff is very friendly and kind with warm hearts to go around. Been here a while and 5 out of 5 is what it deserves from me. I take in every detail of the place and there is a lot to be discovered with beautiful scenery.', 'author_name': 'Hell Blazers', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': ""A fascinating historic site full of industrial artifacts. Will have to visit for the labor day steam workshop and locomotives. I can't believe these things still run. It's like visiting another time and place. One of America's prides. Steam locomotives don't get bigger than big boy."", 'author_name': 'Matthew Hickey', 'relative_time_description': 'a week ago', 'rating': 5}, {'text': ""Great place to go learn about the history of railroads. Very family friendly and easy to find. When you are walking through the yard be sure to check all the tracks you're crossing since it is still an active railway"", 'author_name': 'Bryan Melliand', 'relative_time_description': '4 weeks ago', 'rating': 5}, {'text': ""This gem of historical and educational artifacts is right up the street from my home and is still a regular stop of mine when new kids come into my circle of family friends.\nIt's not only a nice tourist attraction but I also love to take pictures of my clients there on the grounds. My grandson likes to just roam around and explore the tracks and old engines. If you have kids, don't miss it!"", 'author_name': 'Michael Melisky', 'relative_time_description': '2 months ago', 'rating': 5}]",4.7
"['museum', 'point_of_interest', 'establishment']",Everhart Museum,6.209291037596478,"[{'text': 'Took our 9 yr. Old granddaughter to her first museum.  Loved the birds.  Nice to have in my back yard.', 'author_name': 'Lorraine Williams', 'relative_time_description': 'in the last week', 'rating': 4}, {'text': 'A local treat, perfect for a relaxing weekend excursion.\n\n The bird collection is always fascinating, even if some pieces are starting to show their age (100+ years by the way!), and the rotating exhibits bring some interesting pieces that would be difficult to find anywhere else (like the skateboard deck and Haitian voodoo flag displays in the past). Just make sure you wear a hoodie! It gets mighty cold in the bird exhibit.', 'author_name': 'Blake Belleman', 'relative_time_description': '3 weeks ago', 'rating': 5}, {'text': 'This is a very interesting museum.  I liked the diverse collection which ranges from dinosaurs to fine art', 'author_name': 'Raymond Ellis', 'relative_time_description': '3 weeks ago', 'rating': 4}, {'text': 'Though there were a few exhibits off-limits due to being updated the exhibits that were open are quite lovely. The staff was very nice and helpful ,and the gift shop had a little something for everyone. Also the Great Lawn outside of the museum on a nice day is a great place to stroll with the family, with the lovely Koi pond in the front.', 'author_name': 'Laura Leon', 'relative_time_description': '6 months ago', 'rating': 5}, {'text': 'What an amazing place! We took visiting friends with children here to fill part of the afternoon. We all had a wonderful time and the price cant be beet! The surrounding grounds are beautiful and the park across from the museum has lots more fun things to see and do that will tire even the most out of control children.  ""tree house"" :)', 'author_name': 'Anonymous A Google User', 'relative_time_description': '7 months ago', 'rating': 5}]",4.4
